1 null null u g w v null t t null f g null null +
0.5 null null u g q h null t t null f g null null +
0.5 null null u g q h null t f null f g null null +
1 null null u g w v null t t null t g null null +
1 null null u g w v null t f null f s null null +
1 null null u g m v null t f null t g null null +
1 null null u g r h null t f null t g null null +
0.5 null null u g cc v null t f null f g null null +
1 null null y p k h null t f null f g null null +
1 null null y p w v null t f null t g null null +
1 null null u g c h null f f null t g null null +
1 null null u g c h null t f null f g null null +
0.5 null null u g k v null t f null t g null null +
1 null null u g k v null f f null f g null null +
0.5 null null u g q v null t t null t g null null +
1 null null y p k v null t t null t g null null +
1 null null u g m v null t t null t g null null +
0.5 null null u g q v null t t null f g null null +
1 null null u g d h null t f null t g null null +
0.5 null null u g cc h null t t null f g null null +
1 null null u g c v null t t null f g null null +
1 null null u g c v null t f null f s null null +
0.5 null null u g c v null t t null t g null null +
0.5 null null u g x h null t t null f g null null +
0.5 null null u g q v null t t null t g null null +
0.5 null null u g c h null t t null f g null null +
0.5 null null u g i bb null t t null t g null null +
1 null null u g d bb null t t null t g null null +
1 null null u g e h null t t null f g null null +
1 null null u g w v null t t null t g null null +
1 null null u g aa v null t t null t g null null +
1 null null u g x h null t t null f g null null +
1 null null u g i bb null t t null t g null null +
0.5 null null u g e v null t f null t g null null +
0.5 null null u g q v null t t null t g null null +
1 null null u g w v null t t null t g null null +
1 null null u g cc h null t t null t g null null +
0.5 null null u g x h null t t null t g null null +
1 null null y p cc v null t t null f g null null +
1 null null u g ff ff null t t null t g null null +
1 null null u g c v null t t null t g null null +
1 null null u g c h null t t null f g null null +
1 null null u g w h null t t null f g null null +
1 null null u g w v null t t null t g null null +
1 null null y p c v null t t null f g null null +
1 null null u g c h null t t null t g null null +
0.5 null null y p q h null t t null t g null null +
1 null null u g cc h null t t null f g null null +
1 null null u g i bb null f f null f g null null +
1 null null u g c v null f f null f g null null +
0.5 null null u g c h null t f null t g null null +
1 null null u g q v null t f null t g null null +
1 null null u g w v null t f null t g null null +
1 null null u g w v null t f null t g null null +
1 null null u g cc h null t f null t g null null +
1 null null y p w v null t f null t g null null +
1 null null u g cc v null t f null f g null null +
1 null null u g i h null t f null t g null null +
1 null null u g x h null f f null t s null null +
1 null null u g q h null t t null f g null null +
1 null null u g m v null t t null t g null null +
1 null null u g d v null t t null f g null null +
0.5 null null y p q v null t t null t g null null +
0.5 null null u g q v null t t null f g null null +
1 null null u g cc v null t t null t g null null +
1 null null u g cc v null t t null t g null null +
0.5 null null u g c v null t t null f g null null +
1 null null u g m v null t t null f g null null +
1 null null u g w h null t t null f g null null +
1 null null u g x h null t t null t g null null +
1 null null u g e bb null t f null t s null null -
1 null null u g d bb null t f null t g null null -
0.5 null null u g cc v null t f null t g null null -
